minairtemp,maxairtemp,evapproxy,Longitude,Min_czcs
0.8333333333333334,0.66,0.795477663117484,0.30303030303030304,0.9996021265237655
1.0,0.6479999999999996,0.7278914354776085,0.45454545454545453,0.999631117304697
0.9444444444444444,0.64,0.7950264958246518,0.2727272727272727,0.9996381150794047
0.7777777777777778,0.68,0.8465484334924723,0.2878787878787879,0.999631117304697
0.8888888888888888,0.64,0.7712240031937176,0.30303030303030304,0.9996481119004156
0.8333333333333334,0.68,0.7750110741062787,0.3181818181818182,0.9996381150794047
0.8944444444444457,0.6920000000000005,0.7984239222570396,0.3333333333333333,0.9996421138078091
0.9388888888888877,0.6959999999999991,0.8563579041775358,0.3484848484848485,0.9996431134899102
0.9444444444444444,0.68,0.8471978409594279,0.36363636363636365,0.9996461125362134
0.9944444444444431,0.6559999999999991,0.849494692632028,0.4393939393939394,0.9996141227089785
1.0,0.64,0.7489869243515496,0.45454545454545453,0.9996231198478883
0.9944444444444431,0.6559999999999991,0.7745393992092269,0.4696969696969697,0.9996131230268773
0.7611111111111105,0.68,0.8924102723956711,0.2727272727272727,0.9996671058603365
0.7222222222222222,0.68,0.8871739974515884,0.2878787878787879,0.9997300858327052
0.7222222222222222,0.68,0.8503149968008138,0.30303030303030304,0.0
0.8888888888888888,0.72,0.8226160593681471,0.3333333333333333,0.9997090925085823
1.0,0.68,0.8294177481009959,0.3484848484848485,0.9996860998202572
0.8888888888888888,0.72,0.8745276415161408,0.36363636363636365,0.9996321169867982
0.9722222222222222,0.6720000000000005,0.8834552852197595,0.4393939393939394,0.9996451128541123
1.0,0.68,0.8064629031111403,0.45454545454545453,0.0
0.9722222222222222,0.6720000000000005,0.8401910761843825,0.4696969696969697,0.9996121233447762
0.6722222222222235,0.7120000000000004,0.7911027075506265,0.19696969696969696,0.9996111236626753
0.683333333333334,0.7320000000000004,0.8023272029268453,0.21212121212121213,0.9996241195299894
0.6666666666666666,0.7320000000000004,0.7986631776396022,0.22727272727272727,0.9996091242984732
0.5888888888888901,0.7240000000000009,0.922884572266063,0.25757575757575757,0.9996101239805742
0.6111111111111112,0.72,0.8397330730234771,0.2727272727272727,0.999651110946719
0.9444444444444444,0.72,0.8913438769762495,0.3484848484848485,0.0
0.9111111111111099,0.7159999999999991,0.8998955479358413,0.36363636363636365,0.9996331166688993
0.9444444444444444,0.68,0.942797455963338,0.4393939393939394,0.9996751033171452
0.9444444444444444,0.68,0.8875978212721277,0.4696969696969697,0.9996211204836861
0.7222222222222222,0.68,0.8567065334492697,0.19696969696969696,0.9996331166688993
0.6666666666666666,0.76,0.7474898692435155,0.21212121212121213,0.9996821010918527
0.6666666666666666,0.72,0.7841711373243866,0.22727272727272727,0.9996171217552818
0.5555555555555556,0.7520000000000004,0.8034209418185597,0.24242424242424243,0.9996910982307626
0.6111111111111112,0.72,0.9201570609048502,0.25757575757575757,0.9997120915548855
0.8333333333333334,0.72,0.8694759350100351,0.3484848484848485,0.9996691052245387
